qseqid,sseqid,evalue,bitscore,pident,length,sgi,sacc,staxids,sscinames,scomnames
seq0,gi|2209200980|gb|MW803833.1|,9.249999999999999e-55,226.0,100.0,122,2209200980,MW803833,9606,Homo sapiens,human
seq1,gi|2634424560|gb|CP139520.1|,9.249999999999999e-55,226.0,100.0,122,2634424560,CP139520,9606,Homo sapiens,human
seq1,gi|2634424560|gb|CP139520.1|,4.33e-48,204.0,96.721,122,2634424560,CP139520,9606,Homo sapiens,human
seq1,gi|2634424560|gb|CP139520.1|,9.38e-45,193.0,95.082,122,2634424560,CP139520,9606,Homo sapiens,human
seq1,gi|2634424560|gb|CP139520.1|,9.38e-45,193.0,95.082,122,2634424560,CP139520,9606,Homo sapiens,human
seq2,gi|2228689023|gb|ON320554.1|,6.09e-23,121.0,87.736,106,2228689023,ON320554,2937294,Daphnia cf. similis USA_AAK-M4,Daphnia cf. similis USA_AAK-M4
seq3,gi|1898669324|emb|LR828206.1|,0.002,56.5,100.0,30,1898669324,LR828206,76860,Streptococcus constellatus,Streptococcus constellatus
seq4,gi|1515576474|gb|MH377759.1|,6.87e-51,213.0,99.153,118,1515576474,MH377759,33514,Raja eglanteria,clearnose skate
seq5,gi|2166243734|dbj|LC663006.1|,5.4199999999999996e-30,145.0,100.0,78,2166243734,LC663006,1869227,bacterium,bacterium
seq5,gi|2166243734|dbj|LC663006.1|,0.000202,60.2,100.0,32,2166243734,LC663006,1869227,bacterium,bacterium
seq6,gi|2166243734|dbj|LC663006.1|,5.4199999999999996e-30,145.0,100.0,78,2166243734,LC663006,1869227,bacterium,bacterium
seq6,gi|2166243734|dbj|LC663006.1|,0.000202,60.2,100.0,32,2166243734,LC663006,1869227,bacterium,bacterium
seq7,gi|2634424563|gb|CP139522.1|,9.249999999999999e-55,226.0,100.0,122,2634424563,CP139522,9606,Homo sapiens,human
seq8,gi|2259508819|emb|OW897132.1|,5.04e-53,220.0,98.4,125,2259508819,OW897132,77133,uncultured bacterium,uncultured bacterium
seq9,gi|2647484270|gb|PP084266.1|,9.249999999999999e-55,226.0,100.0,122,2647484270,PP084266,9606,Homo sapiens,human
seq10,gi|1933200211|gb|MW063138.1|,9e-33,154.0,100.0,83,1933200211,MW063138,2781373,CrAssphage cat_SB2894,CrAssphage cat_SB2894
seq10,gi|1933200211|gb|MW063138.1|,9e-33,154.0,100.0,83,1933200211,MW063138,2781373,CrAssphage cat_SB2894,CrAssphage cat_SB2894
seq10,gi|1933200211|gb|MW063138.1|,9e-33,154.0,100.0,83,1933200211,MW063138,2781373,CrAssphage cat_SB2894,CrAssphage cat_SB2894
seq10,gi|1933200211|gb|MW063138.1|,2.5399999999999997e-23,122.0,94.937,79,1933200211,MW063138,2781373,CrAssphage cat_SB2894,CrAssphage cat_SB2894
seq10,gi|1933200211|gb|MW063138.1|,9.13e-23,121.0,92.771,83,1933200211,MW063138,2781373,CrAssphage cat_SB2894,CrAssphage cat_SB2894
seq10,gi|1933200211|gb|MW063138.1|,9.13e-23,121.0,92.771,83,1933200211,MW063138,2781373,CrAssphage cat_SB2894,CrAssphage cat_SB2894
seq10,gi|1933200211|gb|MW063138.1|,5.5e-20,111.0,92.5,80,1933200211,MW063138,2781373,CrAssphage cat_SB2894,CrAssphage cat_SB2894
seq10,gi|1933200211|gb|MW063138.1|,5.5e-20,111.0,92.5,80,1933200211,MW063138,2781373,CrAssphage cat_SB2894,CrAssphage cat_SB2894
seq10,gi|1933200211|gb|MW063138.1|,7.16e-14,91.6,92.308,65,1933200211,MW063138,2781373,CrAssphage cat_SB2894,CrAssphage cat_SB2894
seq10,gi|1933200211|gb|MW063138.1|,2.59e-08,73.1,100.0,39,1933200211,MW063138,2781373,CrAssphage cat_SB2894,CrAssphage cat_SB2894
seq10,gi|1933200211|gb|MW063138.1|,0.003,56.5,100.0,30,1933200211,MW063138,2781373,CrAssphage cat_SB2894,CrAssphage cat_SB2894
seq11,gi|2166239622|dbj|LC662872.1|,1.8900000000000002e-29,143.0,100.0,77,2166239622,LC662872,1869227,bacterium,bacterium
seq11,gi|2166239622|dbj|LC662872.1|,1.1400000000000001e-26,134.0,100.0,72,2166239622,LC662872,1869227,bacterium,bacterium
